Código Departamento,Código Municipio,Código Centro Poblado,Nombre Departamento,Nombre Municipio,Nombre Centro Poblado,Tipo,enable
8,8001,8001000,ATLÁNTICO,BARRANQUILLA,BARRANQUILLA,CM,0
8,8001,8001001,ATLÁNTICO,BARRANQUILLA,JUAN MINA,C,0
8,8001,8001005,ATLÁNTICO,BARRANQUILLA,PINAR DEL RIO,CP,0
8,8078,8078000,ATLÁNTICO,BARANOA,BARANOA,CM,0
8,8078,8078001,ATLÁNTICO,BARANOA,CAMPECHE,C,0
8,8078,8078002,ATLÁNTICO,BARANOA,PITAL,C,0
8,8078,8078003,ATLÁNTICO,BARANOA,SIBARCO,C,0
8,8137,8137000,ATLÁNTICO,CAMPO DE LA CRUZ,CAMPO DE LA CRUZ,CM,0
8,8137,8137001,ATLÁNTICO,CAMPO DE LA CRUZ,BOHÓRQUEZ,C,0
8,8141,8141000,ATLÁNTICO,CANDELARIA,CANDELARIA,CM,0
8,8141,8141001,ATLÁNTICO,CANDELARIA,SAN JOSÉ DEL CARRETAL,C,0
8,8141,8141002,ATLÁNTICO,CANDELARIA,BUENAVENTURA DE LEÑA,C,0
8,8296,8296000,ATLÁNTICO,GALAPA,GALAPA,CM,0
8,8296,8296001,ATLÁNTICO,GALAPA,PALUATO,C,0
8,8372,8372000,ATLÁNTICO,JUAN DE ACOSTA,JUAN DE ACOSTA,CM,0
8,8372,8372001,ATLÁNTICO,JUAN DE ACOSTA,BOCATOCINO,C,0
8,8372,8372002,ATLÁNTICO,JUAN DE ACOSTA,CHORRERA,C,0
8,8372,8372003,ATLÁNTICO,JUAN DE ACOSTA,SAN JOSÉ DE SACO,C,0
8,8372,8372004,ATLÁNTICO,JUAN DE ACOSTA,SANTA VERÓNICA,C,0
8,8372,8372007,ATLÁNTICO,JUAN DE ACOSTA,URBANIZACIÓN PUNTA CANGREJO,CAS,0
8,8421,8421000,ATLÁNTICO,LURUACO,LURUACO,CM,0
8,8421,8421001,ATLÁNTICO,LURUACO,ARROYO DE PIEDRA,C,0
8,8421,8421002,ATLÁNTICO,LURUACO,PALMAR DE CANDELARIA,C,0
8,8421,8421003,ATLÁNTICO,LURUACO,LOS PENDALES,C,0
8,8421,8421004,ATLÁNTICO,LURUACO,SAN JUAN DE TOCAGUA,C,0
8,8421,8421005,ATLÁNTICO,LURUACO,SANTA CRUZ,C,0
8,8421,8421006,ATLÁNTICO,LURUACO,LOS LÍMITES,CAS,0
8,8421,8421007,ATLÁNTICO,LURUACO,LA PUNTICA,CAS,0
8,8421,8421012,ATLÁNTICO,LURUACO,BARRIGÓN,CP,0
8,8421,8421013,ATLÁNTICO,LURUACO,SOCAVÓN,CP,0
8,8433,8433000,ATLÁNTICO,MALAMBO,MALAMBO,CM,0
