medCodigo,medNombreGenerico,medFormaFarmaceutica,medConcentracion,medUnidadMedida,medRes008,medRes029,medRes5521,medRes5926,medRes5592
J05AA037011,ABACAVIR,TABLETA,300 MG ,,1,0,0,0,0
J05AA037201,ABACAVIR,SOLUCIÓN ORAL,20 MG/ML ,,1,0,0,0,0
J05AF0601,ABACAVIR,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO  ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
J05AF06011,ABACAVIR,TABLETA CON O SIN RE,300 MG,1,0,1,0,0,0
J05AF0602,ABACAVIR,SOLUCIÓN ORAL,20 MG/ML  (2%),,0,0,1,1,1
J05AF06201,ABACAVIR,SOLUCIÓN ORAL,20 MG/ML,1,0,1,0,0,0
L04AA2401,ABATACEPT,INCLUYE TODAS LAS FORMAS FARMACÉUTICAS,INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
A06AB05271,ACEITE DE CASTOR,SOLUCIÓN ORAL,,1,0,1,0,0,0
A06AR004271,ACEITE DE RICINO,SUSTANCIA PURA USP,,,1,0,0,0,0
A06AB0501,ACEITE DE RICINO (ACEITE DE CASTOR),SOLUCIÓN ORAL,SUSTANCIA PURA USP,,0,0,1,1,1
N02BA001011,ACETAMINOFÉN,TABLETA,500 MG ,,1,0,0,0,0
N02BA001201,ACETAMINOFÉN,SOLUCIÓN ORAL,100 MG/ML (10%) ,,1,0,0,0,0
N02BA001221,ACETAMINOFÉN,JARABE,150 MG/5 ML (3%) ,,1,0,0,0,0
N02BE0101,ACETAMINOFÉN (PARACETAMOL),JARABE,150 MG/5 ML (3%),,0,0,1,1,1
N02BE0102,ACETAMINOFÉN (PARACETAMOL),SOLUCIÓN ORAL,100 MG/ML (10%),,0,0,1,1,1
N02BE0103,ACETAMINOFÉN (PARACETAMOL),"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
S01EA002011,ACETAZOLAMIDA,TABLETA,250 MG ,,1,0,0,0,0
S01EC0101,ACETAZOLAMIDA,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
S01EC01011,ACETAZOLAMIDA,TABLETA CON O SIN RE,250 MG,1,0,1,0,0,0
B01AC0601,ACETÍL SALICÍLICO ÁCIDO,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
N02BA003011,ACETÍL SALICÍLICO ÁCIDO,TABLETA,100 MG ,,1,0,0,0,0
N02BA003142,ACETÍL SALICÍLICO ÁCIDO,TABLETACÁPSULAGRAGEA,500 MG  ,,1,0,0,0,0
N02BA0101,ACETÍL SALICÍLICO ÁCIDO,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
N02BA004141,ACETIL SALICÍLICO ÁCIDO + (CODEÍNA U OXICODONA),(CODEÍNA HASTA U OXICODONA HASTA)TABLETAGRAGEA O C,"300 - 400 MG + (CODEÍNA HASTA 35 MG U OXICODONA HASTA 10 MG) ,C",,1,0,0,0,0
R05CA005451,ACETILCISTEINA,SOLUCIÓN INHALACIÓN,10%,,1,0,0,0,0
R05CB0101,ACETILCISTEÍNA,SOLUCIÓN PARA NEBULIZACIÓN O INHALACIÓN,"0,1",,0,0,1,1,1
R05CB01451,ACETILCISTEÍNA,SOLUCIÓN INHALA,10%,1,0,1,0,0,0
V03AB2301,ACETILCISTEÍNA,SOLUCIÓN INYECTABLE,100 MG/ML (10%),,0,0,1,1,1
R05CA005701,ACETÍLCISTEÍNA,SOLUCIÓN INYECTABLE,300 MG/3 ML ,,1,0,0,0,0
V03AB23701,ACETÍLCISTEÍNA,SOLUCIÓN INYECTABLE,300 MG/3 ML,1,0,1,0,0,0
J05AA006011,ACICLOVIR,TABLETAS,200 MG,,1,0,0,0,0
J05AA006721,ACICLOVIR,POLVO PARA INYECCIÓN,250 MG ,,1,0,0,0,0
J05AB0101,ACICLOVIR,POLVO ESTÉRIL PARA INYECCIÓN,250 MG,,0,0,1,1,1
J05AB01011,ACICLOVIR,TABLETA CON O SIN RE,200 MG,1,0,1,0,0,0
J05AB0102,ACICLOVIR,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,1,1,1
J05AB01721,ACICLOVIR, ESTÉRIL I,250 MG,1,0,1,0,0,0
S01AA006611,ACICLOVIR,UNGÜENTO OFTÁLMICO,3%,,1,0,0,0,0
S01AD0301,ACICLOVIR,UNGÜENTO OFTÁLMICO,"0,03",,0,0,1,1,1
S01AD03611,ACICLOVIR,UNGÜENTO OFTÁLMICO,3%,1,0,1,0,0,0
B01AC06011,ÁCIDO ACETILSALICÍLICO,TABLETA CON O SIN RE,100 MG,1,0,1,0,0,0
N02BA01142,ÁCIDO ACETILSALICÍLICO,TABLETA CON O SIN RE,500 MG,2,0,1,0,0,0
N02BA01161,ÁCIDO ACETILSALICÍLICO,TABLETA CON O SIN RE,100 MG,1,0,1,0,0,0
M05BA04161,ÁCIDO ALENDRÓNICO,TABLETA CON O SIN RE,10 - 70 MG,1,0,1,0,0,0
M05BB0301,ACIDO ALENDRONICO Y COLECALCIFEROL,"TABLETA CON O SIN RECUBRIMIENTO QUE NO MODIFIQUE LA LIBERACIÓN DEL FÁRMACO ,  CÁPSULA",INCLUYE TODAS LAS CONCENTRACIONES,,0,0,0,0,1
A11GA01011,ÁCIDO ASCÓRBICO (VIT C),TABLETA,500 MG,1,0,1,0,0,0
A11GA01201,ÁCIDO ASCÓRBICO (VIT C),SOLUCIÓN ORAL,100 MG/ML,1,0,1,0,0,0
A11GA01701,ÁCIDO ASCÓRBICO (VIT C),SOLUCIÓN INYECTABLE,500 MG/5 ML,1,0,1,0,0,0
M05BA02701,ÁCIDO CLODRÓNICO,SOLUCIÓN INYECTABLE,300 MG,1,0,1,0,0,0
R01AC01421,ÁCIDO CROMOGLÍCICO,SOLUCIÓN NASAL,20 MG/ML (2%),1,0,1,0,0,0
