"CODIGO","NOMBRE","NIVEL","ACLARACION"
10100,"PUNCIÓN CISTERNAL SOD",3,
10101,"PUNCIÓN CISTERNAL, VÍA LATERAL",3,
10102,"PUNCIÓN CISTERNAL, VÍA MEDIAL",3,
"10200","PUNCIÓN [ASPIRACIÓN DE LIQUIDO] VENTRICULAR SOD",3,
"10201","PUNCIÓN [ASPIRACIÓN DE LIQUIDO] VENTRICULAR A TRAVÉS DE CATÉTER PREVÍAMENTE IMPLANTADO",3,
"10202","PUNCIÓN [ASPIRACIÓN DE LIQUIDO] VENTRICULAR POR TREPANACIÓN (SIN CATÉTER)",3,
"10203","PUNCIÓN [ASPIRACIÓN DE LIQUIDO] VENTRICULAR A TRAVÉS DE UN RESERVORIO",3,
"10204","PUNCIÓN [ASPIRACIÓN DE LIQUIDO] VENTRICULAR, VÍA TRANSFONTANELAR",3,
10901,"PUNCIÓN SUBDURAL",3,
11100,"BIOPSIA DE CRÁNEO SOD",3,
11101,"BIOPSIA ÓSEA EN CRÁNEO POR CRANEOTOMÍA",3,
11102,"BIOPSIA ÓSEA EN CRÁNEO POR CRANIECTOMIA",3,
11200,"BIOPSIA DE MENINGE CEREBRAL SOD",3,
11201,"BIOPSIA DE MENINGE, POR CRANEOTOMÍA",3,
11300,"BIOPSIA DE CEREBRO SOD",3,
"11301","BIOPSIA CERRADA [PERCUTÁNEA] [AGUJA] DE CEREBRO",3,
11302,"BIOPSIA ABIERTA (CRANEOTOMÍA) DE CEREBRO",3,
11303,"BIOPSIA DE CEREBRO POR TREPANACIÓN",3,
11304,"BIOPSIA ESTEREOTAXICA DE CEREBRO",3,
12100,"INCISIÓN Y DRENAJE DE SENO FRONTAL SOD",3,
12101,"CRANEALIZACIÓN DE SENO FRONTAL",3,
"12200","EXTRACCIÓN DE NEUROESTIMULADOR INTRACRANEAL SOD",3,
12300,"REAPERTURA DE CRANEOTOMÍA SOD",3,
"12400","CRANEOTOMÍA (DESCOMPRESIVA/EXPLORATORIA) SOD",3,
"12401","DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMÍA",3,
"12402","DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR, POR CRANEOTOMÍA",3,
"12410","EXTRACCIÓN DE CUERPO EXTRAÑO INTRACRANEAL, POR CRANEOTOMÍA",3,
12500,"CRANIECTOMIA SOD",3,
"12501","SECUESTRECTOMIA DE CRÁNEO, POR CRANIECTOMIA",3,
"12502","DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA",3,
"12503","DRENAJE DE COLECCIÓN EPIDURAL FOSA POSTERIOR, POR CRANIECTOMIA",3,
13100,"INCISIÓN DE MENINGES CEREBRALES SOD",3,
"13101","DRENAJE DE ESPACIO SUBDURAL, POR CRANEOTOMÍA",3,
"13102","DRENAJE DE ESPACIO SUBDURAL, POR TREPANACIÓN",3,
"13103","DRENAJE DE ESPACIO SUBDURAL EN FOSA POSTERIOR, POR CRANIECTOMIA",3,
"13104","DRENAJE DE ESPACIO SUBDURAL, POR DRENAJE EXTERNO",3,
"13105","DRENAJE DE ESPACIO SUBARACNOIDEO, POR DERIVACIÓN CISTO PERITONEAL",3,
"13106","DRENAJE DE ESPACIO SUBDURAL, POR DERIVACIÓN SUBDURO PERITONEAL",3,
"13110","DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS",3,
"13200","SECCIÓN DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) SOD",3,
"13201","SECCIÓN DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) POR ABLACIÓN [TERMOLESION] ESTEREOTAXICA",3,
"13202","SECCIÓN DE TEJIDO CEREBRAL (TRACTOS CEREBRALES), POR CRANEOTOMÍA",3,
"14101","TALAMOTOMIA POR ESTEREOTAXIA [ESTIMULACIÓN Y/O ABLACIÓN DE UNO DE SUS NÚCLEOS]",3,
14201,"PALIDOTOMIA POR ESTEREOTAXIA",3,
15100,"ESCISIÓN DE LESIÓN CRANEAL SOD",3,
15101,"RESECCIÓN TUMOR ÓSEO, POR CRANEOTOMÍA",3,
15102,"RESECCIÓN TUMOR ÓSEO, POR CRANIECTOMIA",3,
"15104","CORRECCIÓN DE DISPLASIA FIBROSA DEL CRÁNEO POR CRANIECTOMIA",3,
